fecha,medio,titular,zona_portada,seccion,url
2025-07-17,QueDigital,Playas del norte: adjudicaron las licitaciones de Beltrán Norte y Constitución,destacados_principal,politica,https://quedigital.com.ar/politica/playas-del-norte-adjudicaron-las-licitaciones-de-beltran-norte-y-constitucion/
2025-07-17,QueDigital,Residentes del Inareps y un abrazo “solidario” en defensa de hospitales nacionales,destacados_principal,sociedad,https://quedigital.com.ar/sociedad/residentes-del-inareps-y-un-abrazo-solidario-en-defensa-de-hospitales-nacionales/
2025-07-17,QueDigital,Triple choque en avenida Luro: investigan responsabilidades policiales,destacados_principal,policiales,https://quedigital.com.ar/policiales/triple-choque-en-avenida-luro-investigan-responsabilidades-policiales/
2025-07-17,QueDigital,Anunciaron una vuelta paulatina del público visitante al fútbol argentino,recientes_superior,deportes,https://quedigital.com.ar/deportes/anunciaron-vuelta-paulatina-del-publico-visitante-al-futbol-argentino/
2025-07-17,QueDigital,El oficialismo bloquea información sobre el funcionamiento del café en Villa Victoria,recientes_superior,politica,https://quedigital.com.ar/politica/el-oficialismo-bloquea-informacion-sobre-el-funcionamiento-del-cafe-en-villa-victoria/
2025-07-17,QueDigital,Cine en Mar del Plata: tres estrenos y una promoción especial por el Día del Amigo,recientes_superior,cultura,https://quedigital.com.ar/cultura/cine-en-mar-del-plata-tres-estrenos-y-una-promo-por-el-dia-del-amigo/
2025-07-17,QueDigital,"Playa Paradise: con cruces entre vecinos y concejales, la adjudicación obtuvo dictamen",recientes_superior,politica,https://quedigital.com.ar/politica/playa-paradise-con-cruces-entre-vecinos-y-concejales-la-adjudicacion-obtuvo-dictamen/
2025-07-17,QueDigital,"Las “Vacaciones Divertidas” en el Museo MAR, con más de 50 propuestas infantiles",recientes_superior,cultura,https://quedigital.com.ar/cultura/la-vacaciones-divertidas-en-el-museo-mar-con-mas-de-50-propuestas-infantiles/
2025-07-17,QueDigital,Sospechan que menores de edad ataron el cable que mató al motociclista,recientes_superior,policiales,https://quedigital.com.ar/policiales/sospechan-que-menores-de-edad-ataron-el-cable-que-mato-al-motociclista/
2025-07-17,QueDigital,Dictamen de comisión para la adjudicación del Minella a la única oferta,recientes_inferior,politica,https://quedigital.com.ar/politica/dictamen-de-comision-para-la-adjudicacion-del-minella-a-la-unica-oferta/
2025-07-17,QueDigital,Controlan un principio de incendio en un almacén del centro,recientes_inferior,policiales,https://quedigital.com.ar/policiales/controlan-un-principio-de-incendio-en-un-almacen-del-centro/
2025-07-17,QueDigital,La vuelta de un campeón: Aldosivi concretó el regreso de Sebastián Moyano,recientes_inferior,deportes,https://quedigital.com.ar/deportes/la-vuelta-de-un-campeon-aldosivi-concreto-el-regreso-de-sebastian-moyano/
2025-07-17,QueDigital,“Escenario crítico”: gastronómicos y hoteleros piden “medidas urgentes” a Milei,recientes_inferior,sociedad,https://quedigital.com.ar/sociedad/escenario-critico-hoteleros-y-gastronomicos-piden-medidas-urgentes-a-milei/
2025-07-17,QueDigital,Kicillof acusó a Milei de ejecutar un “exterminio de la producción nacional”,recientes_inferior,politica,https://quedigital.com.ar/politica/kicillof-acuso-a-milei-de-ejecutar-un-exterminio-de-la-produccion-nacional/
2025-07-17,QueDigital,Llega otra edición de “A desaburrir el invierno” en el 80 aniversario del Auditorium,recientes_inferior,cultura,https://quedigital.com.ar/cultura/llega-otra-edicion-de-a-desaburrir-el-invierno-en-el-80-aniversario-del-auditorium/
2025-07-17,QueDigital,"Triple choque entre un patrullero, un colectivo y una camioneta en avenida Luro",recientes_inferior,policiales,https://quedigital.com.ar/policiales/triple-choque-entre-un-patrullero-un-colectivo-y-una-camioneta-en-la-avenida-luro/
